,name,price,address,information,url,brand,image_url,model,store,type,fuel,used_status,used_distance,Giảm xóc - Phuộc,Phanh,Động cơ,Đồng hồ,Khoá,Hệ thống đèn,Hệ thống tự động,Công nghệ kết nối,Khác
0,Suzuki GSX 150 Bandit,28000000,Tp. Hồ Chí Minh,"{""brand"": ""Suzuki"", ""image_url"": ""https://cdn.okxe.vn/products/848/1689848/1689848-135-img-0134-1-20230612120125-jowcn6ma_l_800x800.jpg"", ""model"": ""GSX"", ""store"": ""Trạm Dịch Vụ Xe Máy TP HCM"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 10600, ""Giảm xóc - Phuộc"": ""Phuộc Showa SFF-CA & monoshock Showa BFRC"", ""Phanh"": ""Phanh Đĩa"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Đồng hồ"": ""Đồng hồ LCD""}",https://api.okxe.vn/products/suzuki-gsx-150-brandit-1689848,Suzuki,https://cdn.okxe.vn/products/848/1689848/1689848-135-img-0134-1-20230612120125-jowcn6ma_l_800x800.jpg,GSX,Trạm Dịch Vụ Xe Máy TP HCM,2,Gasolin,used,10600,Phuộc Showa SFF-CA & monoshock Showa BFRC,Phanh Đĩa,Phun xăng điện tử Fi / PGM-FI,Đồng hồ LCD,,,,,
1,Honda Air Blade 160 FI,58000000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/503/1690503/1690503-86-z4371918553306-562cec7504d8ee7ea92f1c217f7a8bf8-20230612034624-kfsyzepx_l_800x800.jpg"", ""model"": ""Air Blade"", ""store"": ""Trạm Dịch Vụ Xe Máy OKXE Hà Nội"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 3000, ""Phanh"": ""Phanh ABS,Phanh Đĩa"", ""Khoá"": ""Smartkey,Khóa chống trộm"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Đồng hồ"": ""Đồng hồ điện tử"", ""Hệ thống đèn"": ""Đèn LED"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop"", ""Công nghệ kết nối"": ""USB post"", ""Khác"": ""Tiết kiệm nhiên liệu,Hiển thị Eco""}",https://api.okxe.vn/products/honda-air-blade-160-fi-1690503,Honda,https://cdn.okxe.vn/products/503/1690503/1690503-86-z4371918553306-562cec7504d8ee7ea92f1c217f7a8bf8-20230612034624-kfsyzepx_l_800x800.jpg,Air Blade,Trạm Dịch Vụ Xe Máy OKXE Hà Nội,1,Gasolin,used,3000,,"Phanh ABS,Phanh Đĩa",Phun xăng điện tử Fi / PGM-FI,Đồng hồ điện tử,"Smartkey,Khóa chống trộm",Đèn LED,Hệ thống ngắt động cơ tạm thời - Idling Stop,USB post,"Tiết kiệm nhiên liệu,Hiển thị Eco"
2,Honda Air Blade 125 FI,35000000,Tp. Hồ Chí Minh,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/241/1683241/1683241-135-1-20230609023502-ma2anzza_l_800x800.jpg"", ""model"": ""Air Blade"", ""store"": ""Trạm Dịch Vụ Xe Máy TP HCM"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 7000, ""Phanh"": ""Phanh cơ,Phanh Đĩa"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop""}",https://api.okxe.vn/products/honda-air-blade-125-fi-1683241,Honda,https://cdn.okxe.vn/products/241/1683241/1683241-135-1-20230609023502-ma2anzza_l_800x800.jpg,Air Blade,Trạm Dịch Vụ Xe Máy TP HCM,1,Gasolin,used,7000,,"Phanh cơ,Phanh Đĩa",Phun xăng điện tử Fi / PGM-FI,,,,Hệ thống ngắt động cơ tạm thời - Idling Stop,,
3,Honda Air Blade 125 FI,30500000,Tp. Hồ Chí Minh,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/822/1689822/1689822-135-ab-125-bb-1-20230612115241-dbfsxs6q_l_800x800.jpg"", ""model"": ""Air Blade"", ""store"": ""Trạm Dịch Vụ Xe Máy TP HCM"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 60000, ""Phanh"": ""Phanh cơ,Phanh Đĩa"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop""}",https://api.okxe.vn/products/honda-air-blade-125-fi-1689822,Honda,https://cdn.okxe.vn/products/822/1689822/1689822-135-ab-125-bb-1-20230612115241-dbfsxs6q_l_800x800.jpg,Air Blade,Trạm Dịch Vụ Xe Máy TP HCM,1,Gasolin,used,60000,,"Phanh cơ,Phanh Đĩa",Phun xăng điện tử Fi / PGM-FI,,,,Hệ thống ngắt động cơ tạm thời - Idling Stop,,
4,Honda SH 125i,60000000,Tp. Hồ Chí Minh,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/740/1689740/1689740-135-sh-125-cbs-1-20230612111929-dqbc7411_l_800x800.jpg"", ""model"": ""SH"", ""store"": ""Trạm Dịch Vụ Xe Máy TP HCM"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Đồng hồ"": ""Đồng hồ LCD"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop""}",https://api.okxe.vn/products/honda-sh-125i-1689740,Honda,https://cdn.okxe.vn/products/740/1689740/1689740-135-sh-125-cbs-1-20230612111929-dqbc7411_l_800x800.jpg,SH,Trạm Dịch Vụ Xe Máy TP HCM,1,Gasolin,used,5000,,,Phun xăng điện tử Fi / PGM-FI,Đồng hồ LCD,,,Hệ thống ngắt động cơ tạm thời - Idling Stop,,
5,Honda Wave Alpha 110,7800000,Tp. Hồ Chí Minh,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/39/1698039/1698039_307606_review-0_20230616025606_xDyoPo7f_l_800x800.jpg"", ""model"": ""Wave Alpha"", ""store"": ""Xe Máy Hoàng Phúc"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh cơ"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI""}",https://api.okxe.vn/products/honda-wave-alpha-110-1698039,Honda,https://cdn.okxe.vn/products/39/1698039/1698039_307606_review-0_20230616025606_xDyoPo7f_l_800x800.jpg,Wave Alpha,Xe Máy Hoàng Phúc,2,Gasolin,used,5000,,Phanh cơ,Phun xăng điện tử Fi / PGM-FI,,,,,,
6,Honda Wave Alpha 110,7800000,Tp. Hồ Chí Minh,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/38/1698038/1698038_307606_review-0_20230616025438_UREbsGOK_l_800x800.jpg"", ""model"": ""Wave Alpha"", ""store"": ""Xe Máy Hoàng Phúc"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 10000, ""Phanh"": ""Phanh cơ"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI""}",https://api.okxe.vn/products/honda-wave-alpha-110-1698038,Honda,https://cdn.okxe.vn/products/38/1698038/1698038_307606_review-0_20230616025438_UREbsGOK_l_800x800.jpg,Wave Alpha,Xe Máy Hoàng Phúc,2,Gasolin,used,10000,,Phanh cơ,Phun xăng điện tử Fi / PGM-FI,,,,,,
7,Honda SH 150i,92000000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/627/1683627/1683627-86-z4417944908845-7c70e1de1519072a5616d811bc3fed8b-20230609042859-7227azpa_l_800x800.jpg"", ""model"": ""SH"", ""store"": ""Trạm Dịch Vụ Xe Máy OKXE Hà Nội"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 12320, ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Đồng hồ"": ""Đồng hồ LCD"", ""Hệ thống tự động"": ""Hệ thống ngắt động cơ tạm thời - Idling Stop""}",https://api.okxe.vn/products/honda-sh-150i-1683627,Honda,https://cdn.okxe.vn/products/627/1683627/1683627-86-z4417944908845-7c70e1de1519072a5616d811bc3fed8b-20230609042859-7227azpa_l_800x800.jpg,SH,Trạm Dịch Vụ Xe Máy OKXE Hà Nội,1,Gasolin,used,12320,,,Phun xăng điện tử Fi / PGM-FI,Đồng hồ LCD,,,Hệ thống ngắt động cơ tạm thời - Idling Stop,,
8,Honda Wave Alpha 110,7800000,Tp. Hồ Chí Minh,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/37/1698037/1698037_307606_review-0_20230616025257_9zCs1A34_l_800x800.jpg"", ""model"": ""Wave Alpha"", ""store"": ""Xe Máy Hoàng Phúc"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 10000, ""Phanh"": ""Phanh cơ"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI""}",https://api.okxe.vn/products/honda-wave-alpha-110-1698037,Honda,https://cdn.okxe.vn/products/37/1698037/1698037_307606_review-0_20230616025257_9zCs1A34_l_800x800.jpg,Wave Alpha,Xe Máy Hoàng Phúc,2,Gasolin,used,10000,,Phanh cơ,Phun xăng điện tử Fi / PGM-FI,,,,,,
9,Honda Wave Alpha 110,8200000,Tp. Hồ Chí Minh,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/36/1698036/1698036_307606_review-0_20230616025115_z5w2mSER_l_800x800.jpg"", ""model"": ""Wave Alpha"", ""store"": ""Xe Máy Hoàng Phúc"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 10000, ""Phanh"": ""Phanh cơ"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI""}",https://api.okxe.vn/products/honda-wave-alpha-110-1698036,Honda,https://cdn.okxe.vn/products/36/1698036/1698036_307606_review-0_20230616025115_z5w2mSER_l_800x800.jpg,Wave Alpha,Xe Máy Hoàng Phúc,2,Gasolin,used,10000,,Phanh cơ,Phun xăng điện tử Fi / PGM-FI,,,,,,
