,name,price,url,Thương hiệu,Loại,MSP,Năm đăng ký,Dung tích,Màu sắc,address
0,Winner X ABS 22Y-222BG,39500000,https://xemayhoangkien.com/winner-x-abs-29y-222bg, Honda, Winner,-,-,-,-,52 Chùa Hà - Cầu Giấy - Hà Nội
1,LX 30L-48DC,14200000,https://xemayhoangkien.com/lx-30l-48dc, Piaggio, LX,-,-,-,-,52 Chùa Hà - Cầu Giấy - Hà Nội
2,Wave A 38K-545CB,15800000,https://xemayhoangkien.com/wave-a-38k-545cb, Honda, Wave A, 38K-545CB, 2020, 110cc, Trắng đen bạc,52 Chùa Hà - Cầu Giấy - Hà Nội
3,LX ie 29X-113JK,20000000,https://xemayhoangkien.com/lx-ie-29x-113jk, Piaggio, LX, 29X-113JK, 2013 (đời 2012), 125cc, Vàng,52 Chùa Hà - Cầu Giấy - Hà Nội
4,TFX 89B-465GG,39300000,https://xemayhoangkien.com/tfx-89b-465gg, Yamaha, TFX, 89B-465GG, 2017, 150cc, Đỏ đen,52 Chùa Hà - Cầu Giấy - Hà Nội
5,LX 3Vie 36B-833FH,17600000,https://xemayhoangkien.com/lx-3vie-36b-833fh, Yamaha, LX, 36B-833FH, 2013, 125cc, Xanh,52 Chùa Hà - Cầu Giấy - Hà Nội
6,Nozza Grande 36K-090HD,23800000,https://xemayhoangkien.com/nozza-grande-36k-090hd, Yamaha, Grande, 36K-090HD, 2016, 125cc, Đỏ đen,52 Chùa Hà - Cầu Giấy - Hà Nội
7,SH Mode 29B-477DF,44900000,https://xemayhoangkien.com/sh-mode-29b-477df, Honda, SH Mode, 29B-477DF, 2022, 125cc, Vàng nâu,52 Chùa Hà - Cầu Giấy - Hà Nội
8,LX ie 29P-180DJ,23800000,https://xemayhoangkien.com/lx-ie-29p-180dj, Piaggio, LX, 29P-180DJ, 2012, 125cc, Đỏ,52 Chùa Hà - Cầu Giấy - Hà Nội
9,SH nhập 29L-215BD,72300000,https://xemayhoangkien.com/sh-nhap-29l-215bd, Honda, SH, 29L-215BD, 2017, 150cc, Nâu,52 Chùa Hà - Cầu Giấy - Hà Nội
10,SH CBS 29T-016EA,80900000,https://xemayhoangkien.com/sh-cbs-29t-016ea, Honda, SH, 29T-016EA, 2021, 125cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
11,Wave Blade 29E-488JH,13500000,https://xemayhoangkien.com/wave-blade-29e-488jh, Honda, Wave Blade, 29E-488JH, 2019, 110cc, Xanh đen,52 Chùa Hà - Cầu Giấy - Hà Nội
12,Airblade Fi 88B-014AH,16300000,https://xemayhoangkien.com/airblade-fi-88b-014ah, Honda, Airblade, 88B-014AH, 2011, 110cc, Đen bạc,52 Chùa Hà - Cầu Giấy - Hà Nội
13,SH CBS 34F-350JD,82000000,https://xemayhoangkien.com/sh-cbs-34f-350jd, Honda, SH, 34F-350JD, 2020, 150cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
14,R15 V3 29F-569FK,50500000,https://xemayhoangkien.com/r15-v3-29f-569fk, Yamaha, R15, 29F-569FK, 2020, 150cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
15,Sprint 29D-675DF,31000000,https://xemayhoangkien.com/sprint-29d-675df, Piaggio, Sprint, 29D-675DF, 2014, 125cc, Đỏ,52 Chùa Hà - Cầu Giấy - Hà Nội
16,SH CBS 26G-236EG,67300000,https://xemayhoangkien.com/sh-cbs-26g-236eg, Honda, SH, 26G-236EG, 2019, 125cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
17,SH CBS 29V-611HJ,78000000,https://xemayhoangkien.com/sh-cbs-29v-611hj, Honda, SH, 29V-611HJ, 2019, 125cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
18,Airblade Fi 29U-403AA,18500000,https://xemayhoangkien.com/airblade-fi-29u-403aa, Honda, Airblade, 29U-403AA, 2009, 110cc, Đen bạc,52 Chùa Hà - Cầu Giấy - Hà Nội
19,SH Mode 29D-600EH,57000000,https://xemayhoangkien.com/sh-mode-29d-600eh, Honda, SH Mode, 29D-600EH, 2021, 125cc, Vàng đen,52 Chùa Hà - Cầu Giấy - Hà Nội
20,SH 29B-448CJ,48500000,https://xemayhoangkien.com/sh-29b-448cj, Honda, SH, 29B-448CJ, 2014, 125cc, Trắng,52 Chùa Hà - Cầu Giấy - Hà Nội
21,Jupiter Fi 18B-523KD,19900000,https://xemayhoangkien.com/jupiter-fi-18b-523kd, Yamaha, Jupiter, 18B-523KD, 2020, 110cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
22,Super Cub 29K-38EB,67000000,https://xemayhoangkien.com/super-cub-29k-38eb, Honda, Cub, 29K-38EB, 19xx, 50cc, Xanh,52 Chùa Hà - Cầu Giấy - Hà Nội
23,Wave A 29Y-227ED,14800000,https://xemayhoangkien.com/wave-a-29y-227ed, Honda, Wave A, 29Y-227ED, 2015, 100cc, Đỏ đen,52 Chùa Hà - Cầu Giấy - Hà Nội
24,Lead 29C-698EF,34300000,https://xemayhoangkien.com/lead-29c-698ef, Honda, Lead, 29C-698EF, 2018, 125cc, Vàng nâu,52 Chùa Hà - Cầu Giấy - Hà Nội
25,NVX 29E-178EF,28000000,https://xemayhoangkien.com/nvx-29e-178ef, Yamaha, NVX, 29E-178EF, 2016, 155cc, Trắng bạc,52 Chùa Hà - Cầu Giấy - Hà Nội
26,Click 29P-399CG,9600000,https://xemayhoangkien.com/click-29p-399cg, Honda, Click, 29P-399CG, 2014 (đời 2010), 110cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
27,Dream 90F2-92EC,18300000,https://xemayhoangkien.com/dream-90f2-92ec, Honda, Dream, 90F2-92EC, 2007, 100cc, Nâu,52 Chùa Hà - Cầu Giấy - Hà Nội
28,Future 1 29P-37GG,18000000,https://xemayhoangkien.com/future-1-29p-37gg, Honda, Future, 29P-37GG, 2004, 125cc, Xanh,52 Chùa Hà - Cầu Giấy - Hà Nội
29,Dream Thái 29P-373KK,59800000,https://xemayhoangkien.com/dream-thai-29p-373kk, Honda, Dream, 29K8-2882, 2000, 100cc, Đỏ đen,52 Chùa Hà - Cầu Giấy - Hà Nội
30,Nozza Grande 36B-066CB,0,https://xemayhoangkien.com/nozza-grande-36b-066cb, Yamaha, Nozza Grande,-,-,-,-,52 Chùa Hà - Cầu Giấy - Hà Nội
31,SH Mode 29H-917HJ,46800000,https://xemayhoangkien.com/sh-mode-29h-917hj, Honda, SH Mode, 29H-917HJ, 2018, 125cc, Đỏ nâu,52 Chùa Hà - Cầu Giấy - Hà Nội
32,Janus 89D-008HC,25500000,https://xemayhoangkien.com/janus-89d-008hc, Yamaha, Janus, 89D-008HC, Đen, 125cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
33,SH Mode 29H-958HE,47300000,https://xemayhoangkien.com/sh-mode-29h-958he, Honda, SH Mode, 29H-958HE, 2018, 125cc, Xanh đen,52 Chùa Hà - Cầu Giấy - Hà Nội
34,SH CBS 29E-926JC,84800000,https://xemayhoangkien.com/sh-cbs-29e-926jc, Honda, SH, 29E-926JC, 2022, 125cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
35,Vespa LX ie 29E-079CK,13600000,https://xemayhoangkien.com/vespa-lx-ie-29e-079ck, Piaggio, LX, 29E-079CK, 2011, 125cc, Đỏ,52 Chùa Hà - Cầu Giấy - Hà Nội
36,Wave A 29L-134DJ,16200000,https://xemayhoangkien.com/wave-a-29l-134dj, Honda, Wave A, 29L-134DJ, 2016, 100cc, Trắng đen,52 Chùa Hà - Cầu Giấy - Hà Nội
37,Vision 29E-926HK,27300000,https://xemayhoangkien.com/vision-29e-926hk, Honda, Vision, 29E-926HK, 2015, 110cc, Đỏ,52 Chùa Hà - Cầu Giấy - Hà Nội
38,SH CBS 29M-931DD,91500000,https://xemayhoangkien.com/sh-cbs-29m-931dd, Honda, SH, 29M-931DD, 2022, 150cc, Đen,52 Chùa Hà - Cầu Giấy - Hà Nội
39,Lead 29T-491AK,25000000,https://xemayhoangkien.com/lead-29t-491ak, Honda, Lead, 29T-491AK, 2015, 125cc, Xanh vàng,52 Chùa Hà - Cầu Giấy - Hà Nội
40,Nozza Grande 36G-375JG,31300000,https://xemayhoangkien.com/nozza-grande-36g-375jg, Yamaha, Grande, 36G-375JG, 2020, 125cc, Trắng,52 Chùa Hà - Cầu Giấy - Hà Nội
41,Wave RSX FI 29Y-390AE,16900000,https://xemayhoangkien.com/wave-rsx-fi-29y-390ae, Honda, Wave rsx, 29Y-390AE, 2017, 110cc, Đen đỏ,52 Chùa Hà - Cầu Giấy - Hà Nội
